pcon,leftright,lower,upper,libauth,lower,upper,ons_id,pctright,pctauth
"Birmingham, Yardley",0.223377411,0.192674336,0.253905644,0.276395057,0.237070408,0.310115072,E14000568,22.33774105,72.36049427
Bishop Auckland,0.250362067,0.215875292,0.286252063,0.290742105,0.248838557,0.332119506,E14000569,25.03620669,70.9257895
Blackburn,0.215887024,0.185520429,0.252295056,0.271885493,0.234489191,0.310060776,E14000570,21.58870238,72.81145067
Blackley and Broughton,0.213911383,0.181872716,0.250119327,0.289480355,0.255426429,0.324753944,E14000571,21.39113828,71.05196446
Blackpool North and Cleveleys,0.247648067,0.213927856,0.277695133,0.272232152,0.236170245,0.310372778,E14000572,24.76480672,72.77678477
Blackpool South,0.235439543,0.206553363,0.262544882,0.274965227,0.233605634,0.308623262,E14000573,23.54395433,72.50347727
Blaenau Gwent,0.232143145,0.195470482,0.272255522,0.31282891,0.265799246,0.355809898,W07000072,23.21431455,68.71710903
Blaydon,0.230658224,0.19212314,0.262445137,0.327859779,0.293245644,0.36525644,E14000574,23.06582238,67.21402214
Blyth Valley,0.240566185,0.208396804,0.273679392,0.314784702,0.274286659,0.35830809,E14000575,24.0566185,68.52152983
Bognor Regis and Littlehampton,0.275322567,0.242002484,0.301500771,0.296931253,0.26121193,0.33091562,E14000576,27.53225667,70.30687472
Bolsover,0.23772002,0.202590926,0.271495913,0.301910185,0.259475341,0.339316489,E14000577,23.77200205,69.80898155
Bolton North East,0.243399211,0.212507938,0.276455823,0.290766581,0.256791029,0.326523396,E14000578,24.33992108,70.9233419
Bolton South East,0.220006979,0.192078661,0.251046535,0.26835972,0.223418109,0.300247302,E14000579,22.00069793,73.16402796
Bolton West,0.262067641,0.23454937,0.29704396,0.300669271,0.261534119,0.33295262,E14000580,26.2067641,69.93307294
Bootle,0.194732675,0.16260553,0.227498156,0.324820558,0.284620317,0.363517889,E14000581,19.47326746,67.51794418
Boston and Skegness,0.251446149,0.2123244,0.27833532,0.273990298,0.240050492,0.307500319,E14000582,25.14461493,72.60097025
Bosworth,0.268863665,0.232410303,0.297518719,0.313883134,0.276290094,0.35086434,E14000583,26.88636647,68.61168663
Bournemouth East,0.267523186,0.238869854,0.309287536,0.35031845,0.310566399,0.384259796,E14000584,26.75231858,64.96815504
Bournemouth West,0.266641526,0.236839716,0.295454881,0.345094342,0.306157504,0.381052265,E14000585,26.66415256,65.49056579
Bracknell,0.281950882,0.25016014,0.309597744,0.332883742,0.298934804,0.371011931,E14000586,28.19508816,66.71162579
Bradford East,0.204435985,0.172208289,0.240294543,0.284268036,0.249254306,0.32298539,E14000587,20.44359847,71.5731964
Bradford South,0.221042083,0.188869681,0.248774892,0.283659736,0.243155064,0.314914471,E14000588,22.10420829,71.63402641
Bradford West,0.203443377,0.170350986,0.238613148,0.300929471,0.262361808,0.344335988,E14000589,20.34433775,69.90705295
Braintree,0.282094356,0.254403026,0.322775398,0.313633422,0.281675354,0.346452094,E14000590,28.20943563,68.63665784
Brecon and Radnorshire,0.280001224,0.237688146,0.319462393,0.322957062,0.278348727,0.367880545,W07000068,28.00012239,67.70429376
Brent Central,0.235286884,0.203912026,0.268083639,0.319448205,0.285619988,0.365717097,E14000591,23.52868839,68.05517953
